"USDA, FDA and ODS-NIH Database for the Iodine Content of Common Foods per Serving, Release 4, October 2024",,,,,,,,,,,,,,
DB_ID,"Standard Reference (Foundation FoodsA) 
FDC NDB No.",TDS No.,Description,Serving size,Serving measure,Serving weight (g),Iodine      (mcg/ serving)B,n,SD ,Min,Max,Source,Serving size referenceC,
Dairy and Eggs,,,,,,,,,,,,,,
91,01001,164,"Butter, salted",1,tbsp,14,0.6,11,0.1,0.5,0.8,FDA,"FDA, USDA",
359,01192,,"Cheese product, made with 2% reduced fat milk",1,oz slice,30,16,1,,,,USDA,FDA ,
24,01253 (100297),10,"Cheese, American, processed",1,oz slice,30,17,37,5.3,8.6,34,FDA/USDAD,FDA,
25,01009,12,"Cheese, cheddar (sharp/mild)",1,oz slice,30,14,38,4.0,8.1,32,FDA/USDA,FDA,
450,01019,,"Cheese, feta, whole milk, crumbled",0.25,cup,30,15,8,6.3,9.1,23,USDA,FDA,
190,01025 (100296),391,"Cheese, Monterey Jack",1,oz slice,30,12,36,4.5,3.7,23,FDA/USDAD,FDA,
191,01029,392,"Cheese, mozzarella",1,oz slice,30,15,30,3.0,8.1,20,FDA/USDA,FDA,
349,01032,,"Cheese, parmesan, grated",1,tbsp,5,4.1,9,1.9,2.3,8.8,USDA,FDA ,
348,43379,,"Cheese, processed, Swiss, low fat",1,oz slice,30,18,1,,,,USDA,FDA,
491,01035 (100298),,"Cheese, provolone",1,oz,30,19,8,3.9,12,25,USDAD,FDA,
350,01036,,"Cheese, ricotta, whole milk",0.25,cup,55,36,1,,,,USDA,"FDA, USDA",
127,01040,236,"Cheese, Swiss",1,oz slice,30,41,35,34,9.9,132,FDA,FDA,
494,01267 (100301),,"Cheese, queso cotija",1,oz,30,19,7,9.9,5.4,34,USDAD,FDA,
492,01228 (100300),,"Cheese, queso fresco",1,oz,30,24,8,11,7.2,38,USDAD,FDA,
493,(100299),,"Cheese, queso oaxaca",1,oz,30,14,8,12,3.7,41,USDAD,FDA,
161,01015,332,"Cottage cheese, creamed, reduced fat",0.50,cup,110,40,11,7.9,28,52,FDA/USDA,FDA,
489,01012,,"Cottage cheese, full fat, small or large curd",0.50,cup,110,50,10,15,22,69,USDA,FDA,
128,01017,237,Cream cheese ,2,tbsp,30,11,18,3.1,6.4,17,FDA/USDA,FDA,
94,01068,168,"Cream substitute, non-dairy, fluid",1,tbsp  ,15,0.1,10,0.0,0.1,0.2,FDA,FDA,
351,01053,,"Cream, heavy whipping, fluid",1,tbsp  ,15,3.1,9,1.0,0.8,4.4,USDA,FDA,
93,01049,167,"Cream, half & half",2,fl oz  ,30,8.8,36,1.8,5.4,14,FDA/USDA,"FDA, USDA",
362,01258,,"Egg, white, dried, stabilized, glucose reduced",1,tbsp,7,2.4,15,0.7,1.5,4.1,USDA,"FDA, American Egg Board",
358,01172,,"Egg, white, raw, frozen, pasteurized",0.25,cup,61,0.9,6,0.0,0.9,0.9,USDA,"FDA, American Egg Board",
355,01133,,"Egg, whole, dried",7,tsp,12.5,34,17,6.6,25,51,USDA,"FDA, American Egg Board",
353,01123,,"Egg, whole, raw, fresh",1,large,50,25,24,11,14,58,USDA,"FDA, USDA",
357,01171,,"Egg, whole, raw, frozen, pasteurized",0.25,cup,61,38,14,8.5,28,49,USDA,"FDA, American Egg Board",
356,01137,,"Egg, yolk, dried",0.33,cup,22.5,79,17,15,59,98,USDA,"FDA, American Egg Board",
354,01126,,"Egg, yolk, raw, frozen, pasteurized",0.25,cup,61,108,15,32,46,163,USDA,"FDA, American Egg Board",
34,01129,37,"Eggs, hard-boiled",1,large,50,31,35,15,7.2,60,FDA,"FDA, USDA",
336,01132,35,"Eggs, scrambled with oil",0.50,cup,110,47,7,14,22,63,FDA,FDA,
192,19270,393,"Ice cream, chocolate",0.67,cup,88,28,28,4.2,21,37,FDA,"FDA, USDA",
341,01243,177,"Ice cream, lowfat, vanilla",0.67,cup,91,41,7,8.9,25,51,FDA,"FDA, USDA",
143,19095,286,"Ice cream, regular (not lowfat), vanilla",0.67,cup,88,33,34,5.1,23,47,FDA,"FDA, USDA",
446,01088,,"Milk, buttermilk, lowfat",1,cup,244,83,8,13,63,104,USDA,FDA,
22,01103,3,"Milk, chocolate, lowfat, fluid ",1,cup  ,250,74,37,17,43,110,FDA/USDA,"FDA, USDA",
21,01079,2,"Milk, reduced fat (2%), fluid",1,cup  ,244,87,59,31,49,251,FDA/USDA,"FDA, USDA",
352,01082,,"Milk, lowfat (1%), fluid",1,cup  ,244,88,24,37,32,208,USDA,"FDA, USDA",
23,01085,4,"Milk, skim, fluid ",1,cup  ,245,84,59,23,38,160,FDA/USDA,USDA,
20,01077,1,"Milk, whole, fluid",1,cup  ,244,82,59,27,42,205,FDA/USDA,"FDA, USDA",
154,01056,300,Sour cream ,2,tbsp,29,9.0,18,1.7,6.3,14,FDA/USDA,"FDA, USDA",
290,,333,"Sour cream dip, any flavor ",2,tbsp,30,7.6,7,1.8,4.8,9.4,FDA,FDA,
295,01298,409,"Yogurt, frozen, vanilla",0.67,cup,116,53,27,11,30,88,FDA,"FDA, USDA ",
447,01293,,"Yogurt, Greek, whole milk, plain",0.75,cup,170,72,8,32,28,135,USDA,FDA,
361,01256,,"Yogurt, Greek, plain, nonfat",0.75,cup  ,170,87,6,5.9,77,95,USDA,"FDA, USDA",
363,01284,,"Yogurt, Greek, strawberry, lowfat",0.75,cup  ,170,71,1,,,,USDA,"FDA, USDA",
364,01285,,"Yogurt, Greek, strawberry, nonfat",0.75,cup  ,170,70,2,,67,74,USDA,"FDA, USDA",
365,01286,,"Yogurt, Greek, vanilla, nonfat",0.75,cup  ,170,86,2,,84,88,USDA,"FDA, USDA",
126,01122,235,"Yogurt, fruit-flavored, lowfat",0.75,cup  ,170,53,11,11,39,72,FDA/USDA,"FDA, USDA",
490,01117 (100295),,"Yogurt, regular, plain, nonfat",0.75,cup,170,100,8,62,57,249,USDAD,FDA,
222,01220,521,"Yogurt, vanilla, lowfat",0.75,cup  ,170,58,3,5.1,53,63,FDA,"FDA, USDA",
448,01116,,"Yogurt, whole milk, plain",0.75,cup,170,55,8,20,37,97,USDA,FDA,
Spices and Miscellaneous  ,,,,,,,,,,,,,,
487,,902,Baking powder,1/8,tsp,0.6,0.0,1,,,,FDA,FDA,
488,,910,Cocoa powder,1,tbsp,7.38,0.0,1,,,,FDA,FDA,
19,02047,909,"Salt, table, iodized",0.25,tsp,1.5,78,26,20,51,134,FDA/USDA,"FDA, USDA",
372,,,"Sea salt, iodized",0.25,tsp,1.5,70,9,17,34,91,USDA,"FDA, similar USDA item  ",
373,,904,"Sea salt, non-iodized",0.25,tsp,1.5,0.0,28,0.0,0.0,0.0,FDA/USDA,"FDA, similar USDA item  ",
"Soups, Sauces, Gravies and Condiments",,,,,,,,,,,,,,
273,,532,"Broth, chicken, ready-to-use from carton",8,fl oz  ,245,1.7,3,0.5,1.2,2.2,FDA,FDA ,
180,06116,374,"Brown gravy, canned or bottled ",0.25,cup  ,58,0.9,10,0.2,0.6,1.2,FDA,"FDA, USDA",
412,27052,,"Dip, salsa con queso (salsa with cheese)",2,tbsp  ,30,5.7,6,4.3,2.2,14,USDA,"FDA, USDA",
98,11935,173,"Ketchup, tomato, bottled",1,tbsp  ,17,0.2,10,0.1,0.1,0.3,FDA,"FDA, USDA",
152,02046,298,"Mustard, yellow, plain",1,tsp,5,0.0,10,0.0,0.0,0.1,FDA,"FDA, USDA",
177,06164,359,"Salsa, tomato, bottled",2,tbsp  ,36,0.6,10,0.3,0.0,1.0,FDA,"FDA, USDA",
203,06150,405,"Sauce, barbecue, bottled",2,tbsp  ,34,0.9,27,0.4,0.3,2.4,FDA,"FDA, USDA",
366,06179,,"Sauce, fish, ready-to-serve",1,tbsp  ,18,3.7,1,,,,USDA,"FDA, USDA",
219,16123/16124,518,"Sauce, soy",1,tbsp  ,16,0.1,3,0.0,0.1,0.1,FDA,"FDA, USDA",
12,27050,373,"Sauce, sweet & sour, bottled",0.25,cup  ,70,0.5,7,0.3,0.3,1.1,FDA,"FDA, USDA",
221,06931,520,"Sauce, tomato pasta, bottled",0.50,cup  ,132,2.1,3,0.6,1.7,2.8,FDA,USDA,
5,06404,283,"Soup, bean with bacon/pork, canned, condensed, prepared with water",1,cup,266,0.8,7,0.3,0.3,1.1,FDA,USDA,
274,,533,"Soup, broccoli cheese, canned, ready to eat (RTE)",1,cup,245,11,3,0.4,11,12,FDA,FDA,
